timestamp,a1,rmssd,sdnn,mean_hr,pnn50,sd1
0.875,875.0,0.0,0.0,0.0,0.0,0.0
1.969,1093.8,218.8,154.7,61.7,100.0,0.0
2.985,1015.7,164.3,110.9,60.8,100.0,148.4
4.172,1187.6,166.8,132.2,58.3,100.0,112.9
5.125,953.2,186.0,121.3,59.2,100.0,151.1
6.016,890.7,168.7,121.6,60.6,100.0,133.4
7.078,1062.5,169.3,113.3,60.0,100.0,128.9
8.172,1093.8,157.1,108.9,59.3,85.7,117.6
9.219,1046.9,147.9,102.2,59.1,75.0,110.6
10.407,1187.6,147.1,109.3,58.2,77.8,107.2
11.532,1125.1,141.0,106.8,57.8,80.0,103.4
12.532,1000.0,139.6,102.8,58.0,81.8,103.2
13.610,1078.2,135.5,98.8,57.8,83.3,99.3
14.688,1078.2,130.2,95.3,57.7,76.9,95.2
15.704,1015.7,126.6,92.3,57.7,78.6,92.6
16.751,1046.9,122.6,89.1,57.7,73.3,89.3
17.720,968.8,110.6,79.7,57.3,73.3,80.7
18.673,953.2,108.9,82.5,57.8,66.7,79.6
19.673,1000.0,100.1,83.0,57.9,60.0,72.7
20.548,875.0,86.1,83.5,59.0,60.0,62.9
21.548,1000.0,90.5,81.6,58.8,60.0,66.0
22.595,1046.9,79.8,73.2,58.2,53.3,58.4
23.657,1062.5,79.5,73.2,58.2,53.3,58.1
24.720,1062.5,78.5,72.0,58.3,53.3,57.5
25.626,906.3,80.5,78.6,58.8,53.3,57.3
26.470,843.8,80.5,78.3,60.1,53.3,57.3
27.548,1078.2,95.4,74.3,60.3,53.3,69.7
28.579,1031.3,94.0,74.7,60.2,46.7,68.8
29.501,921.9,98.2,74.4,60.7,53.3,71.4
30.564,1062.5,103.4,73.3,60.8,53.3,75.7
31.595,1031.3,103.4,73.7,60.7,53.3,75.7
32.595,1000.0,101.7,72.4,60.9,46.7,74.5
33.611,1015.7,101.7,72.4,60.7,46.7,74.4
34.658,1046.9,101.3,72.7,60.4,46.7,74.1
35.517,859.4,107.6,80.7,61.0,46.7,78.7
36.502,984.4,107.6,74.7,60.5,46.7,78.7
37.486,984.4,106.9,74.7,60.6,46.7,78.2
38.361,875.0,110.5,79.2,61.3,53.3,80.4
39.392,1031.3,117.6,77.5,61.4,60.0,86.1
40.486,1093.8,111.7,80.0,61.3,60.0,81.2
41.408,921.9,119.1,79.0,61.2,60.0,87.1
42.486,1078.2,110.2,72.3,60.2,60.0,80.7
43.596,1109.4,109.8,74.9,60.2,60.0,80.3
44.580,984.4,110.9,74.6,60.3,60.0,81.1
45.596,1015.7,105.1,71.7,59.9,53.3,76.9
46.565,968.8,105.5,70.6,60.3,53.3,77.2
47.565,1000.0,105.5,70.1,60.4,53.3,77.2
48.424,859.4,111.5,78.2,61.0,60.0,81.3
49.377,953.2,113.8,78.3,61.3,66.7,83.2
50.315,937.5,103.1,77.4,61.7,60.0,75.4
51.112,796.9,104.4,85.0,62.0,60.0,75.9
51.940,828.2,104.7,92.4,62.7,60.0,76.3
52.690,750.0,102.9,106.6,63.9,60.0,75.0
53.518,828.2,96.7,109.4,64.2,60.0,70.1
54.393,875.0,96.2,108.4,64.8,53.3,69.6
55.190,796.9,87.7,105.2,66.1,53.3,63.9
55.987,796.9,77.8,109.6,66.7,46.7,55.3
56.721,734.4,79.1,108.3,68.4,53.3,54.9
57.503,781.3,73.2,94.1,69.8,46.7,52.6
58.159,656.3,79.6,102.7,71.7,53.3,55.5
58.878,718.8,80.3,97.1,73.2,60.0,57.5
59.534,656.3,81.5,98.8,75.1,66.7,57.2
60.300,765.7,78.2,85.3,76.2,66.7,57.1
61.175,875.0,79.6,86.2,76.1,66.7,58.1
62.018,843.8,79.9,76.8,76.6,66.7,58.3
62.987,968.8,78.1,81.0,76.5,66.7,56.6
63.972,984.4,77.8,94.3,75.6,66.7,56.4
64.925,953.2,75.6,101.3,75.0,60.0,54.4
65.769,843.8,78.1,100.3,74.5,60.0,57.2
66.503,734.4,82.2,102.3,75.0,66.7,59.8
67.222,718.8,79.8,103.3,76.0,60.0,58.3
68.003,781.3,81.4,103.4,76.1,66.7,59.6
68.831,828.2,80.7,103.6,75.9,60.0,58.9
69.691,859.4,80.2,102.8,75.1,60.0,58.6
70.534,843.8,73.5,102.8,74.8,53.3,53.0
71.410,875.0,72.2,94.6,73.4,46.7,52.3
72.300,890.7,70.5,91.1,72.4,40.0,50.3
73.206,906.3,64.7,78.2,70.8,33.3,46.8
74.035,828.2,61.6,74.9,70.4,33.3,45.0
74.863,828.2,61.1,75.2,70.7,33.3,44.7
75.660,796.9,52.4,76.5,70.9,26.7,37.5
76.394,734.4,54.7,75.2,72.1,33.3,38.2
77.222,828.2,59.3,64.3,72.9,40.0,43.0
78.050,828.2,52.1,55.0,73.5,33.3,38.2
78.738,687.5,56.9,63.8,74.5,33.3,41.6
79.472,734.4,58.0,63.8,74.5,33.3,42.5
80.238,765.7,56.3,60.2,74.2,26.7,41.2
80.972,734.4,55.6,63.0,74.5,26.7,40.4
81.988,1015.7,91.1,81.3,73.6,33.3,66.3
83.082,1093.8,93.2,105.8,72.7,40.0,67.1
84.191,1109.4,93.0,125.9,71.6,40.0,67.1
85.285,1093.8,93.0,139.5,70.8,40.0,67.3
86.254,968.8,98.3,141.8,70.4,46.7,71.9
87.238,984.4,96.3,144.3,70.1,40.0,70.1
88.238,1000.0,96.4,146.8,69.3,40.0,70.1
89.504,1265.7,118.0,173.3,67.8,46.7,83.3
90.707,1203.2,118.0,184.3,66.2,46.7,83.3
91.895,1187.6,115.6,185.3,64.2,40.0,82.8
93.036,1140.7,116.2,186.0,63.0,40.0,83.7
94.145,1109.4,110.7,183.1,61.8,33.3,78.4
95.223,1078.2,110.3,162.7,59.9,33.3,79.0
96.223,1000.0,111.9,142.9,58.5,40.0,81.1
97.067,843.8,118.7,133.7,58.0,46.7,86.7
98.192,1125.1,118.7,104.3,56.3,46.7,86.7
99.067,875.0,133.6,115.1,56.9,46.7,97.2
100.098,1031.3,139.5,115.2,57.1,53.3,102.0
101.114,1015.7,139.5,115.1,57.4,53.3,102.0
101.958,843.8,142.8,126.3,58.4,53.3,104.3
102.848,890.7,143.2,130.7,58.7,53.3,104.7
103.833,984.4,145.2,130.7,58.7,60.0,106.3
104.817,984.4,128.0,131.1,58.8,53.3,92.7
105.614,796.9,135.9,128.7,60.5,53.3,97.4
106.427,812.5,135.9,126.0,62.0,53.3,97.7
107.208,781.3,135.6,122.8,63.7,53.3,97.7
108.177,968.8,143.7,112.8,64.3,60.0,105.0
109.177,1000.0,143.7,105.3,64.6,60.0,105.1
110.083,906.3,144.3,98.8,65.3,60.0,105.5
111.099,1015.7,141.4,99.6,65.2,60.0,103.2
112.146,1046.9,121.6,100.9,64.4,53.3,88.9
113.161,1015.7,103.4,90.9,64.7,46.7,75.4
114.208,1046.9,95.6,93.4,64.0,40.0,69.9
115.271,1062.5,95.6,95.6,63.9,40.0,69.9
116.146,875.0,97.5,95.5,64.5,40.0,71.3
117.146,1000.0,102.0,93.0,63.8,46.7,74.5
118.130,984.4,99.2,92.0,63.4,40.0,72.6
119.162,1031.3,99.9,93.7,63.2,40.0,73.1
120.037,875.0,96.2,95.6,63.7,40.0,70.3
120.881,843.8,96.5,91.2,63.5,40.0,70.6
121.912,1031.3,0.0,0.0,0.0,0.0,0.0
122.896,984.4,46.9,33.1,59.6,0.0,0.0
123.646,750.0,169.0,150.7,66.4,50.0,93.8
124.146,500.0,199.7,244.2,79.8,66.7,79.9
124.646,500.0,172.9,254.5,87.8,50.0,90.4
125.053,406.3,160.3,268.1,97.8,60.0,79.3
125.803,750.0,202.7,245.6,95.3,66.7,152.8
126.693,890.7,195.1,236.8,91.8,71.4,148.2
127.725,1031.3,189.1,243.7,88.0,75.0,143.0
128.584,859.4,187.3,231.9,86.2,77.8,139.7
129.678,1093.8,192.5,240.6,83.4,80.0,143.4
130.553,875.0,195.1,230.5,82.1,81.8,144.3
131.459,906.3,187.0,222.4,80.9,75.0,137.9
132.381,921.9,179.7,215.6,79.8,69.2,132.1
133.303,921.9,173.1,209.4,78.8,64.3,126.9
134.209,906.3,167.3,203.2,78.0,60.0,122.3
135.272,1062.5,171.7,205.4,77.9,66.7,125.6
136.084,812.5,173.2,201.5,78.7,66.7,126.7
136.991,906.3,162.5,201.5,77.8,66.7,117.3
137.850,859.4,162.9,180.7,74.7,66.7,118.0
138.928,1078.2,170.7,161.5,70.7,66.7,120.6
139.881,953.2,149.4,96.4,65.4,66.7,108.9
140.803,921.9,145.1,84.2,64.5,60.0,106.2
141.585,781.3,145.1,92.3,65.0,60.0,105.5
142.366,781.3,138.2,95.3,66.2,53.3,101.1
