timestamp,a1,rmssd,sdnn,mean_hr,pnn50,sd1
0.844,843.8,0.0,0.0,0.0,0.0,0.0
1.641,796.9,46.9,33.1,73.2,0.0,0.0
2.422,781.3,34.9,32.5,74.4,0.0,15.6
3.235,812.5,33.8,26.7,74.3,0.0,27.8
4.047,812.5,29.2,23.2,74.2,0.0,23.0
4.860,812.5,26.1,20.8,74.1,0.0,20.1
5.657,796.9,24.7,19.6,74.3,0.0,18.2
6.500,843.8,28.9,22.1,73.9,0.0,22.1
7.344,843.8,27.1,23.1,73.6,0.0,20.5
8.188,843.8,25.5,23.5,73.3,0.0,19.1
8.985,796.9,28.4,23.3,73.5,0.0,20.9
9.860,875.0,35.9,27.8,73.1,9.1,26.5
10.719,859.4,34.6,28.6,72.8,8.3,25.6
11.547,828.2,34.4,27.5,72.8,7.7,25.3
12.376,828.2,33.1,26.5,72.8,7.1,24.3
13.219,843.8,32.3,26.1,72.7,6.7,23.6
14.063,843.8,29.9,26.1,72.7,6.7,21.8
14.876,812.5,30.7,25.2,72.6,6.7,22.4
15.719,843.8,30.7,22.3,72.2,6.7,22.4
16.579,859.4,31.0,22.7,72.0,6.7,22.6
17.376,796.9,34.9,24.0,72.1,13.3,25.6
18.204,828.2,35.6,23.4,72.0,13.3,26.0
19.048,843.8,33.8,21.3,71.7,13.3,24.7
19.907,859.4,34.0,22.0,71.7,13.3,24.9
20.704,796.9,37.6,24.2,71.9,20.0,27.4
21.532,828.2,36.5,24.1,72.0,20.0,26.7
22.392,859.4,31.5,22.7,71.7,13.3,23.1
23.220,828.2,32.3,20.5,71.9,13.3,23.6
24.001,781.3,33.5,23.4,72.3,13.3,24.4
24.845,843.8,37.2,23.7,72.3,20.0,27.2
25.657,812.5,37.8,24.1,72.3,20.0,27.7
26.532,875.0,41.1,26.5,72.2,26.7,30.1
27.329,796.9,45.1,27.6,72.4,33.3,33.0
28.189,859.4,47.2,28.2,72.2,40.0,34.6
29.064,875.0,47.2,30.1,72.0,40.0,34.6
29.923,859.4,44.6,30.1,72.0,33.3,32.5
30.736,812.5,45.5,29.1,71.9,33.3,33.3
31.595,859.4,46.9,29.6,71.8,33.3,34.3
32.423,828.2,47.4,29.6,71.9,33.3,34.7
33.267,843.8,44.7,29.1,71.9,26.7,32.7
34.080,812.5,44.7,28.0,71.8,26.7,32.7
34.939,859.4,45.6,28.5,71.7,26.7,33.4
35.799,859.4,44.9,28.5,71.7,26.7,32.8
